item_id;published;content;channel;content_type;link;category;campaign;assigned_tags;likes;comments;shares;reach 
mercedesbenztv|z1Zo9w9l2pY;21.09.2017 00:00;"Future Needs Heritage | Episode 6: Pilot and co-pilot.
Since long time, the car itself has become the best co-pilot for the driver: it’s always attentive, always has the best route in mind and it supports the driver with connected technology. At Mercedes-Benz, all components and systems are integrated into the comprehensive concept of “Intelligent Drive”. Read more about the Mercedes-Benz history of navigation: http://mb4.me/pilot-co-pilot. Don’t miss the next episode and subscribe to Mercedes-Benz on YouTube: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

Experience the world of Mercedes-Benz:
http://benz.me/international/";YOUTUBE;video;https://www.youtube.com/watch?v=z1Zo9w9l2pY;innovation;NULL;innovation;162;5;n/a;6036
mercedesbenztv|_CfH0M-LBDA;21.09.2017 00:00;"Future Talk [German Only] with Toto Wolff, Executive Director & Mercedes-Benz Motorsport
Live von der Internationalen Automobil Ausstellung (IAA) in Frankfurt – Future Talk mit Toto Wolff, Executive Director & Mercedes-Benz Motorsport.
Wie sich der Rennsport in Zeiten entwickeln wird, in denen durch autonomes und elektrifiziertes Fahren neue Möglichkeiten der Mobilität entstehen.

Der Livestream begint am 20. September 14:30 Uhr. #MBIAA17
Mehr zu Mercedes-Benz auf der IAA: http://mb4.me/2017-IAA";YOUTUBE;video;https://www.youtube.com/watch?v=_CfH0M-LBDA;formula-one;IAA 2017;formula-one, trade show, Livestream;78;3;n/a;2587
6604386669|10155237193391670;13.04.2017 20:00;"U.S. premiere at the New York International Auto Show – the Mercedes-Benz E-Class Cabriolet made its debut at #NYIAS!

Read more: http://mb4.me/EClassCabriolet_f

[Fuel consumption combined: 7.5–7.1 l/100 km | Combined CO2 emissions: 173–165 g/km | http://benz.me/efficiency-statement]";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155237193391670;e-class cabrio;NYIAS 2017;trade show, e-class cabrio;16348;89;491;251615
54502344|910622142265479168;20.09.2017 21:50;"The last drop of light for #TheBestOrNothing to thrive.
?? Ben Brinker #MBPhotopass @MBUSA https://t.co/RvrUQhjZbA";TWITTER;photo;https://t.co/RvrUQhjZbA;GLC suv;NULL;GLC suv;399;2;69;52384
54502344|910585645512437760;20.09.2017 19:25;"Hungary with the #GLA, #CLA & @MercedesAMG #AClass
?? Basti Hansen 
[Csn 7.3–4.2l/100km|CO? 171– 110 g/km]
https://t.co/Ve5X0nvuNM";TWITTER;NULL;https://t.co/Ve5X0nvuNM;passenger-cars;#MBsocialcar;passenger-cars, a-class, AMG, CLA coupé, GLA suv;122;2;16;38674
54502344|910565515147534336;20.09.2017 18:05;"As bright as a black diamond!
?? Christopher Busch #MBsocialcar #BeachCruise https://t.co/SFq36cy86W";TWITTER;photo;https://t.co/SFq36cy86W;GLC suv;#MBsocialcar;GLC suv;575;9;109;57018
25749975|1492337658932000863;13.04.2017 21:55;"Feel the heat!
The Mercedes-AMG GT Concept in full blossom.

#MercedesAMG #Mercedes #AMG #switchtoEQ #NYIAS #NYIAS2017";INSTAGRAM;image;https://www.instagram.com/p/BS12TGtlHhf/;mercedes-benz;NYIAS 2017;amg-gt, AMG, mercedes-benz;186756;478;n/a;2217465
54502344|910560499695316999;20.09.2017 17:45;"Are you ready to drive your date around?!
?? Courtney Ryan #MBPhotopass @MBUSA https://t.co/IgEXgd3R6K";TWITTER;photo;https://t.co/IgEXgd3R6K;c-class coupé;NULL;c-class coupé;1101;19;136;73655
5383634|s6316294862199148545;20.09.2017 17:40;She's Mercedes – Official Trailer: She’s Mercedes is an initiative dedicated to inspiring, connecting and empowering women who are driven to make things happen. The power of inspiration can create great things. She’s Mercedes is the embodiment of this idea. An inspiration circle: a place for women to connect, share ideas and experiences and learn from each other. A destination for inspiring conversations, offering new perspectives and supporting ambitions. With She's Mercedes, we want to inspire, connect and enable women to realize their full potential: https://lnkd.in/eSGB29f;LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6316294862178172928;She’s Mercedes;NULL;She’s Mercedes;53;1;10;10230
6604386669|10155237293111670;13.04.2017 23:00;"Enjoy this review of the first press day at #NYIAS, starring the new Mercedes-AMG GLC 63 Performance SUVs and the Mercedes-AMG GT Concept. 

More on the Mercedes-AMG GLC 63: http://mb4.me/AMG_GLC63_f
More on the Mercedes-AMG GT Concept: http://mb4.me/AMG_GTConcept
#switchtoEQ 

[Fuel consumption combined: 10.7–10.3 l/100 km | Combined CO2 emissions: 244–234 g/km | http://amg4.me/Efficiency-Statement]";FACEBOOK;video;https://facebook.com/6604386669/posts/10155237293111670;passenger-cars;NYIAS 2017;passenger-cars, AMG, trade show, GLC coupé;10377;53;566;467869
54502344|910526508053286913;20.09.2017 15:30;The SLR Club is to become an official Mercedes-Benz brand club in 2018. ALL TIME STARS is offering the SLR McLaren… https://t.co/QcgjlqKpKi;TWITTER;NULL;https://t.co/QcgjlqKpKi;SLR;NULL;SLR;1426;17;305;89803
54502344|910507626626154496;20.09.2017 14:15;"Here's what you've missed out @meConvention, including a talk with Astronaut, Buzz Aldrin!

https://t.co/bg89OIXzHP";TWITTER;NULL;https://t.co/bg89OIXzHP;other;NULL;other, Me Convention;99;1;19;33662
6604386669|10155232812171670;14.04.2017 01:00;"Detroit based writer turned cab driver Oneita Jackson takes international visitors on tours through the Motor City. So we asked Oneita to give us an authentic glimpse of her city, too: http://mb4.me/oneita-cab-driver
via She’s Mercedes";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155232812171670;GLC coupé;NULL;She’s Mercedes, GLC coupé;6025;17;86;136350
25749975|1492460814418153623;14.04.2017 02:00;Wonderful 1969 Mercedes-Benz 280SL Pagode! Photo by @thegentsjournal #classic #lifestyle #luxury #cartastic #mercedes #mbcar #mercedesbenz #beauty;INSTAGRAM;image;https://www.instagram.com/p/BS2STQMlZCX/;classic;NULL;classic;123817;265;n/a;1799471
25749975|1492640275700904985;14.04.2017 07:56;"Ready to ride? ð Photo shot by @basfransenphotography.
______________________________
Mercedes-AMG C 63 Cabriolet - Fuel consumption combined 9.3 - 8.9 l/100 km | CO2 emission combined 218 - 208 g/km
.
#MercedesBenz #MercedesAMG #AMGð¥ #CClass #AMGC63 #Cabriolet #Easterweekend #readytoride";INSTAGRAM;image;https://www.instagram.com/p/BS27Gwil_QZ/;c-class cabrio;NULL;AMG, c-class cabrio, #mbfanphoto;145670;244;n/a;1976441
54502344|910445340045840384;20.09.2017 10:07;Watch the discussion between @Daimler's CEO, Dr Dieter Zetsche & @sherylsandberg at @meConvention:… https://t.co/VeLuzHdsWU;TWITTER;NULL;https://t.co/VeLuzHdsWU;other;NULL;other, Me Convention;200;2;24;40941
6604386669|10155231904736670;14.04.2017 08:00;"What's keeping you from your next adventure? via Mercedes-AMG

[Mercedes-AMG GLE 43 Coupé | Fuel consumption combined: 8.6 l/100km | CO2 emissions: 199 g/km | http://benz.me/efficiency_statement]

More about the GLE: http://benz.me/GLE_fb";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155231904736670;GLE coupé;NULL;AMG, GLE coupé;15935;123;423;261011
25749975|1492766961322410122;14.04.2017 12:08;"Powerful dive into the long weekend. What are your travel plans? â­ï¸ Photo shot by @omarbahlol. 
________________________
#MercedesBenz #SClass #EasterWeekend #HelloWeekend #letsdrivesomewhere #mbfanphoto #mbcar";INSTAGRAM;image;https://www.instagram.com/p/BS3X6RuD8CK/;passenger-cars;NULL;passenger-cars;123013;331;n/a;1820320
25749975|1492774645773878219;14.04.2017 12:23;"Behind the Scenes at the filming of car-com #QuickMick â Fahrschule Furious with @mickschumacher, @harry_g_offiziell and the Mercedes-AMG A 45 in the
starring roles.
#MercedesBenz #Mercedes #MBcars #A45 #QuickMick #TeamMS #carcom [Mercedes-AMG A 45 | Fuel consumption combined: 7.3-6.9 l/100 km | Combined CO2 emissions: 171â162 g/km]";INSTAGRAM;image;https://www.instagram.com/p/BS3ZqGbD8PL/;sports;#QuickMick;a-class, AMG, sports;117564;144;n/a;NULL
6604386669|10155232720191670;14.04.2017 16:15;Glamour for New York: Riviera Caterers from downtown Manhattan deliver their food services in two “chromed” Sprinter: http://benz.me/mirror-of-the-city;FACEBOOK;photo;https://facebook.com/6604386669/posts/10155232720191670;Sprinter;NULL;Sprinter;3986;29;90;101181
54502344|910310226032779264;20.09.2017 01:10;"Hot date.
?? @RicciSpeckels #MBsocialcar #Gventure300k #MercedesBenz #GClass
[Csn 13.8-12.3l/100km|CO2 323-289g/km] https://t.co/7UEe4x7ruj";TWITTER;photo;https://t.co/7UEe4x7ruj;g-class suv;#Gventure300k;g-class suv;593;5;112;57855
25749975|1492934989327057423;14.04.2017 17:42;"Hopefully is winding down for a couple of relaxed days ahead.

Photo by @basfransenphotography

#happyeaster #cclass #relax #mbfanphoto #holidays #bekind #begood #thebestornothing #ð° #ð¥ #â¤ï¸";INSTAGRAM;image;https://www.instagram.com/p/BS3-HZ_l0IP/;c-class sedan;NULL;c-class sedan;104174;116;n/a;1666433
mercedesbenztv|1pMgzo_JV3g;20.09.2017 00:00;"Future Talk with Geoff Willis, Technology Director of Mercedes-AMG Petronas Motorsport
Join us live from the International Motorshow (IAA) 2017 for a Future Talk with Geoff Willis, Technology Director of Mercedes-AMG Petronas Motorspor: The Digitalization of Formula 1
The talk revolves around the extreme requirements concerning drivetrain technology, body shell and chassis for the success in Formula 1, which can be an important for the development of series production vehicles.

The live stream starts at 11:30 AM CEST on September 20, 2017. #MBIAA17  
More about Mercedes-Benz at the IAA 2017: http://mb4.me/2017-IAA";YOUTUBE;video;https://www.youtube.com/watch?v=1pMgzo_JV3g;formula-one;IAA 2017;formula-one, trade show, Livestream;70;4;n/a;2213
mercedesbenztv|vniTFMt__Go;20.09.2017 00:00;"me Convention 2017 Day 1: Opening in Frankfurt with Buzz Aldrin
Astronaut Buzz Aldrin held the keynote for the opening of the first me Convention on Friday 15 September, in Frankfurt, Germany. The me Convention is a new event offered by Mercedes-Benz in cooperation with South by Southwest® (SXSW®). The event features a wide range of future topics including: New Creation, New Urbanity, New Leadership, New Realities, New Velocity. The me Convention is an inspiring mixture of workshops, expert round tables, interactive labs and art installations. More than 100 international visionaries, lateral thinkers and inspiring personalities from different social and cultural backgrounds will be present as speakers.

► More information about the me Convention: 
http://mb4.me/me-convention

► The digital Hub for the IAA 2017:
https://mb4.me/2017-IAA

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More interesting playlists:
IAA 2017: https://www.youtube.com/playlist?list=PL0ORtgsuktfkElQcQwLCfx6917yXyGz-k
me Convention: https://www.youtube.com/playlist?list=PL0ORtgsuktflaueKnVxgC9pzy6PFsZkl-

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=vniTFMt__Go;other;NULL;other, Me Convention;34;1;n/a;1154
mercedesbenztv|eZUomFq-2cA;20.09.2017 00:00;"OLED Tail Lights of the Mercedes-Benz S-Class Cabriolet & Coupé
The new Mercedes-Benz S-Class Coupé and Cabriolet premiered at the IAA 2017. This video shows, how they inspire with 33 ultrathin, highly dynamic and unique OLED tail lights. Read more about the new S-Class Cabriolet & Coupé: http://mb4.me/s-class-cabriolet-coupe.

► Subscribe to Mercedes-Benz on YouTube:
http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More interesting playlists:
IAA 2017: https://www.youtube.com/playlist?list=PL0ORtgsuktfkElQcQwLCfx6917yXyGz-k
Innovation: https://www.youtube.com/playlist?list=PL4F1FAF45AC0E04FE
S-Class: https://www.youtube.com/playlist?list=PL7F98A4F3364FE1E3

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=eZUomFq-2cA;innovation;NULL;innovation, s-class coupé, s-class cabrio;494;16;n/a;25439
mercedesbenztv|6-wxqMVoKks;20.09.2017 00:00;"Mercedes-Benz GLA in Hungary | #MBvideocar
Mercedes-Benz presents another #MBvideocar episode. This time Basti Hansen travelled through Hungary with the Mercedes-Benz GLA 220 d, CLA 250 4MATIC and the Mercedes-AMG A 45 4MATIC. Subscribe to the channel so you get notified for the next episode here: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV.  

Hungary – so many stories, beautiful people and breathtaking landscapes. To be on the road is to always look ahead. To always search for the next shot, the next sunset, to be in awe of the faces you meet along the way.

Mercedes-AMG A 45 4MATIC:
Fuel consumption combined: 7.3–6.9 l/100 km;
combined CO₂ emissions: 171–162 g/km.*

GLA 220 d:
Fuel consumption combined: 4.4–4.2 l/100 km;
combined CO₂ emissions: 115–110 g/km.*

CLA 250 4MATIC:
Fuel consumption combined: 6.7–6.5 l/100 km;
combined CO₂ emissions: 156–152 g/km.*

Videographer:
Basti Hansen | http://BastiHansen.com

Model: 
Tina Paffen

► More information about the Mercedes-Benz GLA:
http://mb4.me/the-new-gla

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► Watch more episodes here: 
http://mb4.me/mbvideocar

► More videos featuring the Mercedes-Benz GLA:
GLA: https://www.youtube.com/playlist?list=PL0ORtgsuktfkfgooDUTroL2FaX01YfW4g

► More interesting playlists:
CLA: https://www.youtube.com/playlist?list=PL0ORtgsuktfm_1lGPhPA6-OjtRQXfMypl
A-Class: https://www.youtube.com/playlist?list=PLEC4993BA5665DBF2
Mercedes-AMG: https://www.youtube.com/playlist?list=PLDE663109C5BC6913

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=6-wxqMVoKks;passenger-cars;#MBvideocar;passenger-cars, a-class, AMG, CLA coupé, GLA suv;158;7;n/a;8475
mercedesbenztv|nonMbctydlQ;20.09.2017 00:00;"Mercedes-Benz S-Class 2017: Remote Parking Assist – Exploration mode – Getting into parking spaces
The Remote Parking Assist can be used to control parking in and out of garages via a smartphone. In the Exploration mode, the driver can activate the vehicle to make it easy. The Mercedes-Benz S-Class can be manoeuvred forward or backward up to 15 metres. Read more about the new S-Class: http://mb4.me/S-Class-Facelift. Subscribe to the Mercedes-Benz YouTube channel: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

Experience the world of Mercedes-Benz: http://benz.me/international/";YOUTUBE;video;https://www.youtube.com/watch?v=nonMbctydlQ;s-class sedan;Owner's Manual;s-class sedan;161;2;n/a;9036
54502344|910261045834473472;19.09.2017 21:55;"Make a run for the border!
?? Dennis Noten #MBsocialcar #RoadtoIAA #MBIAA17 #AMG #GLC43
[Csn 8.9-8.4l/100km|CO2 203-… https://t.co/mb2xtnwfmm";TWITTER;NULL;https://t.co/mb2xtnwfmm;GLC coupé;IAA 2017;AMG, trade show, GLC coupé;532;4;108;56575
25749975|1493062279775915677;14.04.2017 21:55;"On & offroad through Scandinavia.
@gs_gijs the Mercedes-Benz G 500 4x4Â² and the Mercedes-AMG E 63 S on a roadtrip from the Netherlands to Norway.

Special thanks to @asvmercedes and @djlafuente.

#MercedesBenz #Mercedes #MBcars #MercedesAMG #AMG #E63 #G500 #Offroad #roadtrip #adventure #ontheroad [Mercedes-Benz G 500 4x4Â² | Combined fuel consumption: 13.8 l/100 km | CO2 emission: 323 g/km and Mercedes-AMG E 63 S | Combined fuel consumption: 9.1-8.8 l/100 km | CO2 emission: 207-199 g/km]";INSTAGRAM;image;https://www.instagram.com/p/BS4bDudlA6d/;passenger-cars;NULL;passenger-cars, AMG, e-class sedan, g-class 4x4²;186100;225;n/a;2214517
54502344|910224545327587328;19.09.2017 19:30;"Family reunion. 
?? #MBPhotoPass via @mbusa #AMG #GT #Edition50 #DrivingPerformance
[Csn 11.4-9.3l/100km|CO2 259-216… https://t.co/4f1dCuQlGL";TWITTER;NULL;https://t.co/4f1dCuQlGL;passenger-cars;NULL;passenger-cars, AMG, amg-gt coupé, amg-gt gt-r, amg-gt roadster;1049;15;214;80620
54502344|910194325824446465;19.09.2017 17:30;"There's more than one way to generate some power! 
?? @bas_fransen #MBsocialcar #RoadtoIAA #MBIAA17 #GLA45 #AMG
[Csn… https://t.co/vkeD48ySUw";TWITTER;NULL;https://t.co/vkeD48ySUw;GLA suv;IAA 2017;AMG, trade show, GLA suv;469;3;77;48069
6604386669|10155235619916670;15.04.2017 01:00;"Performance and dynamism in its purest form.
The Mercedes-AMG GT Roadster on tour in Arizona.

More about the AMG GT Roadster: http://benz.me/AMGGTRoadster_fb

[Mercedes-AMG GT Roadster | Fuel consumption combined: 9.6–9.4 l/100 km | Combined CO2 emissions: 224–219 g/km | http://benz.me/efficiency-statement]";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155235619916670;amg-gt roadster;NULL;AMG, amg-gt roadster;34194;289;1611;638862
5383634|s6315916737908920320;19.09.2017 16:38;Project CARS 2 – Learn to drive on a frozen lake virtually: Experience Mercedes-Benz Driving Events in a video game for the first time - Mercedes-Benz Driving Events can now be experienced in a video game for the first time. The new Project CARSTM 2 racing game enables players to demonstrate their skills on the official Driving Events winter training course in Sorsele in northern Sweden on PC, PlayStation 4 and Xbox One. This special training area, which actually lies on a frozen lake, is now replicated in every detail in Project CARS 2, so players can experience the challenges of the real tracks also virtually. The racing game was developed by globally operating Slightly Mad Studios and is being published, marketed and distributed by BANDAI NAMCO Entertainment Group. Project CARS 2 will be released on the 22nd September 2017 for PlayStation 4 system, Xbox One, and PC: https://lnkd.in/eH4CX2r;LINKEDIN;image;https://www.linkedin.com/nhome/updates?topic=6315916737774706688;Driving Events;Project CARS 2;driving events, lifestyle, product-placement, c-class coupé, Driving Events;44;0;5;7986
25749975|1493185760295615585;15.04.2017 02:00;Beautiful Mercedes-Benz 300 CE, isnÂ´t it? Photo by @mercithewagon #mercedes #mercedesbenz #mbcar #classiccar #cartastic #luxury #beauty #lifestyle;INSTAGRAM;image;https://www.instagram.com/p/BS43ImqF3xh/;classic;NULL;classic;105342;372;n/a;1837658
25749975|1493339960216369640;15.04.2017 07:06;"There's always enough space to take some flowers with you. ð·ðð¹ Photo via @mercedesbenzmelbourne.
_________________________
#MercedesBenz #mbfanphoto #HelloWeekend #springtimeð¸ #HelloSpring #automotivedesign";INSTAGRAM;image;https://www.instagram.com/p/BS5aMghl7no/;passenger-cars;NULL;passenger-cars, #mbfanphoto;122964;209;n/a;1890432
6604386669|10155232204861670;15.04.2017 08:05;Four days of digitalization. 108,000 visitors and professionals from 208 countries. 2,300 participating companies – and we are in the middle of it!;FACEBOOK;video;https://facebook.com/6604386669/posts/10155232204861670;other;NULL;other;2631;6;80;194852
54502344|910094928553922560;19.09.2017 10:55;"Amazing design will always stand the test of time.?? #MBPhotoPass via @mbusa #GT #Edition50 #DrivingPerformance
[Csn… https://t.co/oV2DBvIkG2";TWITTER;NULL;https://t.co/oV2DBvIkG2;amg-gt coupé;NULL;AMG, amg-gt coupé;1251;15;227;70816
6604386669|10155235717516670;15.04.2017 09:36;Der Schlüsselanhänger aus Edelstahl weiss zu überzeugen: Die Vorderseite ist mit der originalen Heckdeckeltypographie der C-Klasse verziert, während auf der Rückseite eine 3D-Version des Mercedes-Benz Sterns prangt: http://mb4.me/Typo-C-Klasse;FACEBOOK;photo;https://facebook.com/6604386669/posts/10155235717516670;mb-collection;NULL;mb-collection;345;25;7;74736
6604386669|10155235721676670;15.04.2017 09:37;"This premium-quality keychain comes with the original ""C-Class"" lettering on its frontside, while the back is emblazoned by the Mercedes-Benz star in 3D: http://mb4.me/key_rings";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155235721676670;mb-collection;NULL;mb-collection;117;3;2;15780
54502344|910073529030381568;19.09.2017 09:30;"The #MercedesAMG Project ONE is ready for take-off! 
?? @bas_fransen #MBsocialcar #MBIAA17 #AMG  #AMGProjectONE… https://t.co/Ofyi1kqOvi";TWITTER;NULL;https://t.co/Ofyi1kqOvi;mercedes-amg x1;IAA 2017;AMG, trade show, mercedes-amg x1;492;12;118;53875
6604386669|10155235733586670;15.04.2017 09:41;El llavero de acero inoxidable atrae la atención: el anverso muestra la tipografía original de la Clase C en la zaga del coche mientras que en el reverso destaca la estrella Mercedes en versión tridimensional: http://mb4.me/llaveros;FACEBOOK;photo;https://facebook.com/6604386669/posts/10155235733586670;mb-collection;NULL;mb-collection;92;0;3;8664
54502344|910053404508065792;19.09.2017 08:10;"No judgement here. Put that top down when you want!
?? @arnaud_taquet #MBsocialcar #RoadtoIAA #MBIAA17
[Csn 4.9-4.7l… https://t.co/4Kn92uyGMV";TWITTER;NULL;https://t.co/4Kn92uyGMV;e-class cabrio;IAA 2017;trade show, e-class cabrio;345;1;58;41497
25749975|1493533006857944459;15.04.2017 13:30;"Home and streets and paths alike: the Mercedes-AMG GLE 43 CoupÃ©.

#MercedesAMG #Mercedes #AMG #Coupe
[Fuel consumption combined: 9.4-8.9 l/100 km | Combined CO2 emissions: 219â209 g/km]";INSTAGRAM;image;https://www.instagram.com/p/BS6GFtOFr2L/;GLE coupé;NULL;AMG, GLE coupé;147550;230;n/a;2005038
25749975|1493623612414315971;15.04.2017 16:30;"What are your plans for this extended weekend?

Photo by @basfransenphotography

#happyeaster #cclass #relax #mbfanphoto #holidays #bekind #begood #thebestornothing #ð° #ð¥ #â¤ï¸";INSTAGRAM;image;https://www.instagram.com/p/BS6asMOF03D/;c-class sedan;NULL;c-class sedan, #mbfanphoto;112060;163;n/a;1762189
54502344|909952738599022593;19.09.2017 01:30;"Even the grille's gone digital.
?? Florian Haizmann #MBsocialcar #MercedesBenz #ConceptEQA #MBIAA17 #SwitchToEQ https://t.co/gMsyjPwFDo";TWITTER;photo;https://t.co/gMsyjPwFDo;mercedes-benz;IAA 2017;trade show, mercedes-benz, EQ, Electric CH;820;6;200;64991
6604386669|10155244362696670;15.04.2017 16:44;"First F1 pole for Valtteri Bottas in Bahrain, Lewis Hamilton starts from P2. Best of luck to both drivers and the entire team of Mercedes-AMG Petronas Motorsport. 

More about the #BahrainGP: http://mb4.me/BahrainGP";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155244362696670;formula-one;NULL;formula-one;2061;11;38;70001
mercedesbenztv|qnFDT3iepaY;19.09.2017 00:00;"Joyful Anticipation: From raw material to car body shell (Rastatt plant)
The first step – From the raw material to the body shell. Don’t miss an episode and subscribe to Mercedes-Benz on YouTube: http://www.youtube.com/subscription_center?add_user=MercedesBenzTV. With the new digital service from Mercedes-Benz, “Joyful Anticipation“, private purchasers of new vehicles gain access to an exclusive website when they order. Customers in Germany can immediately follow the production of their individually configured Mercedes-Benz passenger car in real-time.  

In the first part of the video series, along with the aluminium foundry and the steel foundry, the press shop, as well as the body shell of the Mercedes-Benz Compact Cars can be seen in the production plant in Rastatt.

”Joyful anticipation“ is currently available for the following model series: A-Class, B-Class, C-Class, E-Class, S-Class as well as CLA, CLS, GLA, GLC, SL and SLC.

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More interesting playlists:
S-Class: https://www.youtube.com/playlist?list=PL7F98A4F3364FE1E3
E-Class: https://www.youtube.com/playlist?list=PL5DB7ADA2E6ADE42F
Vehicles: https://www.youtube.com/playlist?list=PLB74147F39E0EE2B2
Innovation: https://www.youtube.com/playlist?list=PL4F1FAF45AC0E04FE";YOUTUBE;video;https://www.youtube.com/watch?v=qnFDT3iepaY;innovation;Joyful Anticipation;passenger-cars, innovation;110;4;n/a;3960
mercedesbenztv|7vzhuBsql2s;19.09.2017 00:00;"IAA 2017 Future Talk [German Only] mit dem Mercedes-AMG Project ONE
Nehmt Platz im Mercedes-AMG Project ONE! Wir werfen live auf der IAA 2017 einen Blick in das zweisitzige Supersportwagen-Showcar, das überwältigende Rennstrecken-Performance und alltagstaugliche Formel 1 Hybrid-Technologie mit beispielloser Effizienz kombiniert. #AMGFuturePerformance #AMGProjectONE

Der Livestream begint am 18. September 15:30 Uhr. #MBIAA17
Mehr zu Mercedes-Benz auf der IAA: http://mb4.me/2017-IAA";YOUTUBE;video;https://www.youtube.com/watch?v=7vzhuBsql2s;mercedes-amg x1;IAA 2017;AMG, trade show, mercedes-amg x1;148;9;n/a;5047
mercedesbenztv|aejrwIlyq8c;19.09.2017 00:00;"IAA 2017 Future Talk [German Only] mit  Dr. Steven Kasih und dem Mercedes-Benz Vision Van.
Live von der Internationalen Automobil Ausstellung (IAA) in Frankfurt – Future Talk mit Stefan Maurer, Head of Future Transportation, Mercedes-Benz Vans, Daimler AG.
Der Mercedes-Benz Vision Van liefert mit seiner vernetzten Zustellungskette, voll automatisiertem Laderaum und einer intelligenten Kommunikation zwischen Fahrer und Fahrzeug den Prototyp für künftige Transporter-Generationen.
Der Livestream begint am 18. September 14:30 Uhr. #MBIAA17
Mehr zu Mercedes-Benz auf der IAA: http://mb4.me/2017-IAA";YOUTUBE;video;https://www.youtube.com/watch?v=aejrwIlyq8c;commercial vehicles;IAA 2017;trade show;129;2;n/a;4256
mercedesbenztv|nSLcHv1EEec;19.09.2017 00:00;"Mercedes-Benz Project CARS 2: Ice Training with Nic Hamilton
Mercedes-Benz Driving Events can now be experienced in a video game for the first time. The new Project CARS 2 racing game enables players to demonstrate their skills on the official Driving Events winter training course in Sorsele in northern Sweden on PC, PlayStation 4 and Xbox One. Watch the fusion of game and reality in this exclusive “Built by drivers” featuring racing driver Nic Hamilton.  

► Subscribe to Mercedes-Benz on YouTube:
http://www.youtube.com/subscription_center?add_user=MercedesBenzTV

► Experience the world of Mercedes-Benz:
http://benz.me/international/

► More interesting playlists:
Driving Events: https://www.youtube.com/playlist?list=PL0ORtgsuktflxL2vIoA6PEn94tClLw5hj

► Mercedes-Benz on Social Media:
https://facebook.com/MercedesBenz
https://twitter.com/MercedesBenz
https://www.instagram.com/mercedesbenz/";YOUTUBE;video;https://www.youtube.com/watch?v=nSLcHv1EEec;Driving Events;Project CARS 2;driving events, lifestyle, product-placement, c-class coupé, Driving Events;343;18;n/a;262037
54502344|909901144272654336;18.09.2017 22:05;"Taking the G-Class ""off-road"" in the #Chunnel!
?? @GFWilliams #MBsocialcar #G63 #RoadtoIAA #MBIAA17
[Csn 13.8l/100km… https://t.co/v60LHpYpDD";TWITTER;NULL;https://t.co/v60LHpYpDD;g-class suv;IAA 2017;AMG, trade show, g-class suv;626;7;130;57825
6604386669|10155235698786670;15.04.2017 17:00;"On & offroad through Scandinavia. 

Gijs Spierings takes the Mercedes-Benz G 500 4x4² and the Mercedes-AMG E 63 S on a roadtrip from the Netherlands to Norway. 

Special thanks to ASV Mercedes-Benz and La Fuente.

[Mercedes-Benz G 500 4x4² | Combined fuel consumption: 13.8 l/100 km | CO2 emission: 323 g/km and Mercedes-AMG E 63 S | Combined fuel consumption: 9.1-8.8 l/100 km | CO2 emission: 207-199 g/km | http://mb4.me/EfficiencyStatement]";FACEBOOK;photo;https://facebook.com/6604386669/posts/10155235698786670;passenger-cars;NULL;passenger-cars, AMG, e-class sedan, g-class 4x4²;10950;45;270;230943
25749975|1493787150105537879;15.04.2017 21:55;"Mercedes-Benz Vans Australia and photographer Jason Furnari took the Mercedes-Benz Concept X-CLASS to locations outside Melbourne and produced stunning shots.

Experience this gorgeous impression from the first appearance of the 'Ute' concept, as pickups are called down under!

#MercedesBenz #Mercedes #MBcars #XCLass #ConceptXCLASS #Australia";INSTAGRAM;image;https://www.instagram.com/p/BS6_3-kFW1X/;x-class;NULL;X-Class;165039;185;n/a;2163581
